id;produto;categoria;variante_index;variacao;preco
38;Bocal TIGRE Pingo (avulso);Acessórios para Aspersão;8;Bitola 4,0mm;3,60
38;Bocal TIGRE Pingo (avulso);Acessórios para Aspersão;9;Tampão (bitola 4,0mm);2,80
39;Bocal Aspersor TIGRE ECO/MIDI (avulso);Acessórios para Aspersão;0;Bitola 2,8mm;4,20
39;Bocal Aspersor TIGRE ECO/MIDI (avulso);Acessórios para Aspersão;1;Bitola 3,0mm;4,20
39;Bocal Aspersor TIGRE ECO/MIDI (avulso);Acessórios para Aspersão;2;Bitola 3,2mm;4,30
39;Bocal Aspersor TIGRE ECO/MIDI (avulso);Acessórios para Aspersão;3;Bitola 3,4mm;4,30
39;Bocal Aspersor TIGRE ECO/MIDI (avulso);Acessórios para Aspersão;4;Bitola 3,6mm;4,40
39;Bocal Aspersor TIGRE ECO/MIDI (avulso);Acessórios para Aspersão;5;Bitola 3,8mm;4,40
39;Bocal Aspersor TIGRE ECO/MIDI (avulso);Acessórios para Aspersão;6;Bitola 4,0mm;4,50
39;Bocal Aspersor TIGRE ECO/MIDI (avulso);Acessórios para Aspersão;7;Bitola 4,2mm;4,50
39;Bocal Aspersor TIGRE ECO/MIDI (avulso);Acessórios para Aspersão;8;Bitola 4,4mm;4,60
39;Bocal Aspersor TIGRE ECO/MIDI (avulso);Acessórios para Aspersão;9;Bitola 4,6mm;4,60
39;Bocal Aspersor TIGRE ECO/MIDI (avulso);Acessórios para Aspersão;10;Bitola 4,8mm;4,70
39;Bocal Aspersor TIGRE ECO/MIDI (avulso);Acessórios para Aspersão;11;Bitola 5,0mm;4,70
39;Bocal Aspersor TIGRE ECO/MIDI (avulso);Acessórios para Aspersão;12;Bitola 5,2mm;4,80
39;Bocal Aspersor TIGRE ECO/MIDI (avulso);Acessórios para Aspersão;13;Bitola 5,4mm;4,80
39;Bocal Aspersor TIGRE ECO/MIDI (avulso);Acessórios para Aspersão;14;Bitola 5,6mm;4,90
39;Bocal Aspersor TIGRE ECO/MIDI (avulso);Acessórios para Aspersão;15;Bitola 5,8mm;4,90
39;Bocal Aspersor TIGRE ECO/MIDI (avulso);Acessórios para Aspersão;16;Bitola 6,0mm;5,00
39;Bocal Aspersor TIGRE ECO/MIDI (avulso);Acessórios para Aspersão;17;Bitola 6,2mm;5,00
39;Bocal Aspersor TIGRE ECO/MIDI (avulso);Acessórios para Aspersão;18;Bitola 6,4mm;5,10
39;Bocal Aspersor TIGRE ECO/MIDI (avulso);Acessórios para Aspersão;19;Bitola 6,6mm;5,10
39;Bocal Aspersor TIGRE ECO/MIDI (avulso);Acessórios para Aspersão;20;Bitola 6,8mm;5,20
39;Bocal Aspersor TIGRE ECO/MIDI (avulso);Acessórios para Aspersão;21;Bitola 7,0mm;5,20
39;Bocal Aspersor TIGRE ECO/MIDI (avulso);Acessórios para Aspersão;22;Bitola 7,2mm;5,30
39;Bocal Aspersor TIGRE ECO/MIDI (avulso);Acessórios para Aspersão;23;Bitola 7,6mm;5,40
39;Bocal Aspersor TIGRE ECO/MIDI (avulso);Acessórios para Aspersão;24;Bitola 8,0mm;5,50
40;Bocal Dispersor TIGRE Pingo/MIDI;Acessórios para Aspersão;0;Bitola 2,0mm;5,50
40;Bocal Dispersor TIGRE Pingo/MIDI;Acessórios para Aspersão;1;Bitola 2,4mm;5,50
40;Bocal Dispersor TIGRE Pingo/MIDI;Acessórios para Aspersão;2;Bitola 2,6mm;5,60
40;Bocal Dispersor TIGRE Pingo/MIDI;Acessórios para Aspersão;3;Bitola 2,8mm;5,60
40;Bocal Dispersor TIGRE Pingo/MIDI;Acessórios para Aspersão;4;Bitola 3,0mm;5,70
40;Bocal Dispersor TIGRE Pingo/MIDI;Acessórios para Aspersão;5;Bitola 3,2mm;5,70
40;Bocal Dispersor TIGRE Pingo/MIDI;Acessórios para Aspersão;6;Bitola 3,4mm;5,80
40;Bocal Dispersor TIGRE Pingo/MIDI;Acessórios para Aspersão;7;Bitola 3,6mm;5,80
40;Bocal Dispersor TIGRE Pingo/MIDI;Acessórios para Aspersão;8;Bitola 3,8mm;5,90
40;Bocal Dispersor TIGRE Pingo/MIDI;Acessórios para Aspersão;9;Bitola 4,0mm;5,90
40;Bocal Dispersor TIGRE Pingo/MIDI;Acessórios para Aspersão;10;Bitola 2,0E;5,50
40;Bocal Dispersor TIGRE Pingo/MIDI;Acessórios para Aspersão;11;Bitola 2,4E;5,50
41;Mecanismo Quebra Jato ECO/MIDI;Acessórios para Aspersão;0;Unidade avulsa;12,00
42;Mecanismo de Reversão Pingo;Acessórios para Aspersão;0;Unidade avulsa;18,00
43;Mecanismo de Reversão MIDI;Acessórios para Aspersão;0;Unidade avulsa;22,00
44;Adaptador Aspersor Pingo;Acessórios para Aspersão;0;1/2" x 3/4";4,50
44;Adaptador Aspersor Pingo;Acessórios para Aspersão;1;1/2" x 1";4,90
45;SempreVerde Grama;Linha SempreVerde;0;90°;15,50
45;SempreVerde Grama;Linha SempreVerde;1;180°;16,00
45;SempreVerde Grama;Linha SempreVerde;2;360°;17,00
46;SempreVerde Tubo;Linha SempreVerde;0;90°;16,50
46;SempreVerde Tubo;Linha SempreVerde;1;180°;17,00
46;SempreVerde Tubo;Linha SempreVerde;2;360°;18,00
47;Tubo Irriga LF PN 40 PBL;Tubos e Conexões Irriga LF;0;Bitola 35mm — barra 6m;22,00
47;Tubo Irriga LF PN 40 PBL;Tubos e Conexões Irriga LF;1;Bitola 50mm — barra 6m;32,00
47;Tubo Irriga LF PN 40 PBL;Tubos e Conexões Irriga LF;2;Bitola 75mm — barra 6m;45,00
47;Tubo Irriga LF PN 40 PBL;Tubos e Conexões Irriga LF;3;Bitola 100mm — barra 6m;62,00
47;Tubo Irriga LF PN 40 PBL;Tubos e Conexões Irriga LF;4;Bitola 125mm — barra 6m;82,00
47;Tubo Irriga LF PN 40 PBL;Tubos e Conexões Irriga LF;5;Bitola 150mm — barra 6m;112,00
48;Tubo Irriga LF PN 60 PBL;Tubos e Conexões Irriga LF;0;Bitola 35mm — barra 6m;27,00
48;Tubo Irriga LF PN 60 PBL;Tubos e Conexões Irriga LF;1;Bitola 50mm — barra 6m;39,00
48;Tubo Irriga LF PN 60 PBL;Tubos e Conexões Irriga LF;2;Bitola 75mm — barra 6m;55,00
48;Tubo Irriga LF PN 60 PBL;Tubos e Conexões Irriga LF;3;Bitola 100mm — barra 6m;76,00
48;Tubo Irriga LF PN 60 PBL;Tubos e Conexões Irriga LF;4;Bitola 125mm — barra 6m;100,00
48;Tubo Irriga LF PN 60 PBL;Tubos e Conexões Irriga LF;5;Bitola 150mm — barra 6m;137,00
49;Tubo Irriga LF PN 80 PBL;Tubos e Conexões Irriga LF;0;Bitola 50mm — barra 6m;48,00
49;Tubo Irriga LF PN 80 PBL;Tubos e Conexões Irriga LF;1;Bitola 75mm — barra 6m;68,00
49;Tubo Irriga LF PN 80 PBL;Tubos e Conexões Irriga LF;2;Bitola 100mm — barra 6m;94,00
49;Tubo Irriga LF PN 80 PBL;Tubos e Conexões Irriga LF;3;Bitola 150mm — barra 6m;170,00
50;Tubo Irriga LF PN 125 PBL;Tubos e Conexões Irriga LF;0;Bitola 50mm — barra 6m;62,00
50;Tubo Irriga LF PN 125 PBL;Tubos e Conexões Irriga LF;1;Bitola 75mm — barra 6m;88,00
50;Tubo Irriga LF PN 125 PBL;Tubos e Conexões Irriga LF;2;Bitola 100mm — barra 6m;122,00
50;Tubo Irriga LF PN 125 PBL;Tubos e Conexões Irriga LF;3;Bitola 125mm — barra 6m;158,00
50;Tubo Irriga LF PN 125 PBL;Tubos e Conexões Irriga LF;4;Bitola 150mm — barra 6m;210,00
51;Adaptador BS x PR Longo Irriga LF;Tubos e Conexões Irriga LF;0;50mm x 1.1/2";18,00
51;Adaptador BS x PR Longo Irriga LF;Tubos e Conexões Irriga LF;1;75mm x 2.1/2";32,00
52;Adaptador BS x RM Curto Irriga LF;Tubos e Conexões Irriga LF;0;35mm x 1.1/2";14,00
52;Adaptador BS x RM Curto Irriga LF;Tubos e Conexões Irriga LF;1;50mm x 2";19,00
52;Adaptador BS x RM Curto Irriga LF;Tubos e Conexões Irriga LF;2;75mm x 3";28,00
52;Adaptador BS x RM Curto Irriga LF;Tubos e Conexões Irriga LF;3;100mm x 4";42,00
52;Adaptador BS x RM Curto Irriga LF;Tubos e Conexões Irriga LF;4;150mm x 6";85,00
53;Bucha de Redução Curta Irriga LF;Tubos e Conexões Irriga LF;0;50mm x 35mm;9,00
53;Bucha de Redução Curta Irriga LF;Tubos e Conexões Irriga LF;1;75mm x 50mm;14,00
54;CAP Soldável Irriga LF;Tubos e Conexões Irriga LF;0;35mm;8,00
54;CAP Soldável Irriga LF;Tubos e Conexões Irriga LF;1;50mm;12,00
54;CAP Soldável Irriga LF;Tubos e Conexões Irriga LF;2;75mm;18,00
54;CAP Soldável Irriga LF;Tubos e Conexões Irriga LF;3;100mm;28,00
54;CAP Soldável Irriga LF;Tubos e Conexões Irriga LF;4;125mm;42,00
54;CAP Soldável Irriga LF;Tubos e Conexões Irriga LF;5;150mm;62,00
55;Curva 45° PTA/BSA Soldável Irriga LF;Tubos e Conexões Irriga LF;0;35mm;14,00
55;Curva 45° PTA/BSA Soldável Irriga LF;Tubos e Conexões Irriga LF;1;50mm;19,00
55;Curva 45° PTA/BSA Soldável Irriga LF;Tubos e Conexões Irriga LF;2;75mm;28,00
55;Curva 45° PTA/BSA Soldável Irriga LF;Tubos e Conexões Irriga LF;3;100mm;42,00
55;Curva 45° PTA/BSA Soldável Irriga LF;Tubos e Conexões Irriga LF;4;125mm;68,00
55;Curva 45° PTA/BSA Soldável Irriga LF;Tubos e Conexões Irriga LF;5;150mm;95,00
56;Curva 90° PTA/BSA Soldável Irriga LF;Tubos e Conexões Irriga LF;0;35mm;15,00
56;Curva 90° PTA/BSA Soldável Irriga LF;Tubos e Conexões Irriga LF;1;50mm;21,00
56;Curva 90° PTA/BSA Soldável Irriga LF;Tubos e Conexões Irriga LF;2;75mm;30,00
56;Curva 90° PTA/BSA Soldável Irriga LF;Tubos e Conexões Irriga LF;3;100mm;45,00
56;Curva 90° PTA/BSA Soldável Irriga LF;Tubos e Conexões Irriga LF;4;125mm;72,00
56;Curva 90° PTA/BSA Soldável Irriga LF;Tubos e Conexões Irriga LF;5;150mm;102,00
57;Luva de Correr Irriga LF PN 125;Tubos e Conexões Irriga LF;0;50mm;22,00
57;Luva de Correr Irriga LF PN 125;Tubos e Conexões Irriga LF;1;75mm;32,00
57;Luva de Correr Irriga LF PN 125;Tubos e Conexões Irriga LF;2;100mm;45,00
58;Luva de Correr Irriga LF PN 80;Tubos e Conexões Irriga LF;0;125mm;48,00
58;Luva de Correr Irriga LF PN 80;Tubos e Conexões Irriga LF;1;150mm;62,00
59;Luva Soldável Irriga LF;Tubos e Conexões Irriga LF;0;35mm;9,00
59;Luva Soldável Irriga LF;Tubos e Conexões Irriga LF;1;50mm;13,00
59;Luva Soldável Irriga LF;Tubos e Conexões Irriga LF;2;75mm;19,00
59;Luva Soldável Irriga LF;Tubos e Conexões Irriga LF;3;100mm;28,00
59;Luva Soldável Irriga LF;Tubos e Conexões Irriga LF;4;125mm;42,00
59;Luva Soldável Irriga LF;Tubos e Conexões Irriga LF;5;150mm;58,00
60;Redução BSA Soldável Irriga LF PN 80;Tubos e Conexões Irriga LF;0;50mm x 35mm;12,00
60;Redução BSA Soldável Irriga LF PN 80;Tubos e Conexões Irriga LF;1;75mm x 50mm;16,00
60;Redução BSA Soldável Irriga LF PN 80;Tubos e Conexões Irriga LF;2;100mm x 50mm;19,00
60;Redução BSA Soldável Irriga LF PN 80;Tubos e Conexões Irriga LF;3;100mm x 75mm;22,00
60;Redução BSA Soldável Irriga LF PN 80;Tubos e Conexões Irriga LF;4;125mm x 100mm;32,00
60;Redução BSA Soldável Irriga LF PN 80;Tubos e Conexões Irriga LF;5;150mm x 100mm;42,00
60;Redução BSA Soldável Irriga LF PN 80;Tubos e Conexões Irriga LF;6;150mm x 125mm;48,00
61;Redução BSA Soldável Irriga LF PN 125;Tubos e Conexões Irriga LF;0;75mm x 50mm;22,00
61;Redução BSA Soldável Irriga LF PN 125;Tubos e Conexões Irriga LF;1;100mm x 50mm;28,00
61;Redução BSA Soldável Irriga LF PN 125;Tubos e Conexões Irriga LF;2;100mm x 75mm;32,00
62;Tê Soldável Irriga LF;Tubos e Conexões Irriga LF;0;35mm;16,00
62;Tê Soldável Irriga LF;Tubos e Conexões Irriga LF;1;50mm;24,00
62;Tê Soldável Irriga LF;Tubos e Conexões Irriga LF;2;75mm;36,00
62;Tê Soldável Irriga LF;Tubos e Conexões Irriga LF;3;100mm;55,00
62;Tê Soldável Irriga LF;Tubos e Conexões Irriga LF;4;125mm*;85,00
62;Tê Soldável Irriga LF;Tubos e Conexões Irriga LF;5;150mm*;115,00
63;Tê com Rosca Derivação Irriga LF;Tubos e Conexões Irriga LF;0;35mm x 1";18,00
63;Tê com Rosca Derivação Irriga LF;Tubos e Conexões Irriga LF;1;50mm x 3/4";22,00
63;Tê com Rosca Derivação Irriga LF;Tubos e Conexões Irriga LF;2;50mm x 1";24,00
63;Tê com Rosca Derivação Irriga LF;Tubos e Conexões Irriga LF;3;50mm x 1.1/2";28,00
63;Tê com Rosca Derivação Irriga LF;Tubos e Conexões Irriga LF;4;75mm x 1.1/2";38,00
63;Tê com Rosca Derivação Irriga LF;Tubos e Conexões Irriga LF;5;75mm x 2.1/2";48,00
63;Tê com Rosca Derivação Irriga LF;Tubos e Conexões Irriga LF;6;100mm x 1.1/2";58,00
64;Tê BSA Soldável Irriga LF PN 125;Tubos e Conexões Irriga LF;0;50mm;45,00
64;Tê BSA Soldável Irriga LF PN 125;Tubos e Conexões Irriga LF;1;75mm;62,00
64;Tê BSA Soldável Irriga LF PN 125;Tubos e Conexões Irriga LF;2;100mm;85,00
65;Tê de Redução BSA Soldável Irriga LF;Tubos e Conexões Irriga LF;0;75mm x 50mm;26,00
65;Tê de Redução BSA Soldável Irriga LF;Tubos e Conexões Irriga LF;1;100mm x 50mm;32,00
65;Tê de Redução BSA Soldável Irriga LF;Tubos e Conexões Irriga LF;2;100mm x 75mm;36,00
65;Tê de Redução BSA Soldável Irriga LF;Tubos e Conexões Irriga LF;3;150mm x 100mm*;78,00
65;Tê de Redução BSA Soldável Irriga LF;Tubos e Conexões Irriga LF;4;150mm x 125mm*;92,00
66;Tê de Redução BSA Soldável Irriga LF PN 125;Tubos e Conexões Irriga LF;0;75mm x 50mm;48,00
66;Tê de Redução BSA Soldável Irriga LF PN 125;Tubos e Conexões Irriga LF;1;100mm x 50mm;58,00
66;Tê de Redução BSA Soldável Irriga LF PN 125;Tubos e Conexões Irriga LF;2;100mm x 75mm;68,00
67;Junta de Borracha Vedação Irriga LF;Tubos e Conexões Irriga LF;0;50mm;6,00
67;Junta de Borracha Vedação Irriga LF;Tubos e Conexões Irriga LF;1;75mm;8,00
67;Junta de Borracha Vedação Irriga LF;Tubos e Conexões Irriga LF;2;100mm;11,00
67;Junta de Borracha Vedação Irriga LF;Tubos e Conexões Irriga LF;3;125mm;14,00
67;Junta de Borracha Vedação Irriga LF;Tubos e Conexões Irriga LF;4;150mm;18,00
68;Registro de Esfera VS Soldável Irriga;Tubos e Conexões Irriga LF;0;20mm;22,00
68;Registro de Esfera VS Soldável Irriga;Tubos e Conexões Irriga LF;1;25mm;26,00
68;Registro de Esfera VS Soldável Irriga;Tubos e Conexões Irriga LF;2;32mm;32,00
68;Registro de Esfera VS Soldável Irriga;Tubos e Conexões Irriga LF;3;35mm;36,00
68;Registro de Esfera VS Soldável Irriga;Tubos e Conexões Irriga LF;4;50mm;48,00
68;Registro de Esfera VS Soldável Irriga;Tubos e Conexões Irriga LF;5;75mm;78,00
69;Registro de Esfera VS Roscável Irriga;Tubos e Conexões Irriga LF;0;3/4";35,00
69;Registro de Esfera VS Roscável Irriga;Tubos e Conexões Irriga LF;1;1";45,00
69;Registro de Esfera VS Roscável Irriga;Tubos e Conexões Irriga LF;2;1.1/2";68,00
69;Registro de Esfera VS Roscável Irriga;Tubos e Conexões Irriga LF;3;2";98,00
70;Tubo Irriga EP;Linha Portátil Irriga EP;0;2" — barra 6m;145,00
70;Tubo Irriga EP;Linha Portátil Irriga EP;1;3" — barra 6m;175,00
71;Acoplamento Rápido Aspersor Irriga EP;Linha Portátil Irriga EP;0;1";38,00
72;Adaptador Fêmea Irriga EP;Linha Portátil Irriga EP;0;2";32,00
72;Adaptador Fêmea Irriga EP;Linha Portátil Irriga EP;1;2" x 1.1/2";36,00
72;Adaptador Fêmea Irriga EP;Linha Portátil Irriga EP;2;3";42,00
72;Adaptador Fêmea Irriga EP;Linha Portátil Irriga EP;3;3" x 2.1/2";48,00
73;Adaptador Macho Irriga EP;Linha Portátil Irriga EP;0;2";30,00
73;Adaptador Macho Irriga EP;Linha Portátil Irriga EP;1;2" x 1.1/2";34,00
73;Adaptador Macho Irriga EP;Linha Portátil Irriga EP;2;3";40,00
74;Bucha de Redução para Saída Aspersor Irriga EP;Linha Portátil Irriga EP;0;1.1/2" x 1";18,00
75;CAP Fêmea Irriga EP;Linha Portátil Irriga EP;0;2";42,00
75;CAP Fêmea Irriga EP;Linha Portátil Irriga EP;1;3";55,00
76;CAP Macho Irriga EP;Linha Portátil Irriga EP;0;2";38,00
76;CAP Macho Irriga EP;Linha Portátil Irriga EP;1;3";50,00
77;Curva 45° Irriga EP;Linha Portátil Irriga EP;0;2";55,00
77;Curva 45° Irriga EP;Linha Portátil Irriga EP;1;3";75,00
78;Curva 90° Irriga EP;Linha Portátil Irriga EP;0;2";62,00
78;Curva 90° Irriga EP;Linha Portátil Irriga EP;1;3";85,00
79;Derivação Rosca Irriga EP;Linha Portátil Irriga EP;0;2" x 2";68,00
79;Derivação Rosca Irriga EP;Linha Portátil Irriga EP;1;3" x 2";85,00
80;Derivação Saída Fêmea Irriga EP;Linha Portátil Irriga EP;0;2";72,00
80;Derivação Saída Fêmea Irriga EP;Linha Portátil Irriga EP;1;3";95,00
80;Derivação Saída Fêmea Irriga EP;Linha Portátil Irriga EP;2;3" x 2";88,00
81;Junta de Borracha Vedação Irriga EP/ES;Linha Portátil Irriga EP/ES;0;2";8,00
81;Junta de Borracha Vedação Irriga EP/ES;Linha Portátil Irriga EP/ES;1;3";11,00
81;Junta de Borracha Vedação Irriga EP/ES;Linha Portátil Irriga EP/ES;2;4";15,00
82;Ponta Fêmea Irriga EP;Linha Portátil Irriga EP;0;2";35,00
82;Ponta Fêmea Irriga EP;Linha Portátil Irriga EP;1;3";45,00
83;Ponta Macho Irriga EP;Linha Portátil Irriga EP;0;2";32,00
83;Ponta Macho Irriga EP;Linha Portátil Irriga EP;1;3";42,00
84;Redução Fêmea/Macho Irriga EP;Linha Portátil Irriga EP;0;3" x 2";48,00
85;Saída Aspersor Irriga EP;Linha Portátil Irriga EP;0;2" x 3/4";58,00
85;Saída Aspersor Irriga EP;Linha Portátil Irriga EP;1;2" x 1";62,00
85;Saída Aspersor Irriga EP;Linha Portátil Irriga EP;2;2" x 1.1/2";65,00
85;Saída Aspersor Irriga EP;Linha Portátil Irriga EP;3;3" x 1";72,00
85;Saída Aspersor Irriga EP;Linha Portátil Irriga EP;4;3" x 1.1/2";75,00
85;Saída Aspersor Irriga EP;Linha Portátil Irriga EP;5;3" x 2.1/2";85,00
85;Saída Aspersor Irriga EP;Linha Portátil Irriga EP;6;4" x 1";95,00
85;Saída Aspersor Irriga EP;Linha Portátil Irriga EP;7;4" x 1.1/2";98,00
85;Saída Aspersor Irriga EP;Linha Portátil Irriga EP;8;4" x 2.1/2";105,00
86;Subida Aspersor Roscável Irriga EP;Linha Portátil Irriga EP;0;3/4" — 0,5m;28,00
86;Subida Aspersor Roscável Irriga EP;Linha Portátil Irriga EP;1;1" — 0,5m;32,00
86;Subida Aspersor Roscável Irriga EP;Linha Portátil Irriga EP;2;3/4" — 1,0m;42,00
86;Subida Aspersor Roscável Irriga EP;Linha Portátil Irriga EP;3;1" — 1,0m;48,00
87;Válvula para Aspersor Irriga EP;Linha Portátil Irriga EP;0;1";45,00
88;Tubo Irriga ES Sem Engate;Linha Portátil Irriga ES;0;2" — barra 6m;155,00
88;Tubo Irriga ES Sem Engate;Linha Portátil Irriga ES;1;3" — barra 6m;185,00
88;Tubo Irriga ES Sem Engate;Linha Portátil Irriga ES;2;4" — barra 6m;225,00
89;Adaptador Fêmea Irriga ES;Linha Portátil Irriga ES;0;2";38,00
89;Adaptador Fêmea Irriga ES;Linha Portátil Irriga ES;1;3";48,00
89;Adaptador Fêmea Irriga ES;Linha Portátil Irriga ES;2;4";62,00
90;Adaptador Macho Irriga ES;Linha Portátil Irriga ES;0;2";42,00
90;Adaptador Macho Irriga ES;Linha Portátil Irriga ES;1;3";55,00
90;Adaptador Macho Irriga ES;Linha Portátil Irriga ES;2;4";68,00
91;Cap Fêmea Irriga ES;Linha Portátil Irriga ES;0;2";45,00
91;Cap Fêmea Irriga ES;Linha Portátil Irriga ES;1;3";58,00
91;Cap Fêmea Irriga ES;Linha Portátil Irriga ES;2;4";72,00
92;Cap Macho Irriga ES;Linha Portátil Irriga ES;0;2";48,00
92;Cap Macho Irriga ES;Linha Portátil Irriga ES;1;3";62,00
92;Cap Macho Irriga ES;Linha Portátil Irriga ES;2;4";78,00
93;Curva 45° Irriga ES;Linha Portátil Irriga ES;0;2";65,00
93;Curva 45° Irriga ES;Linha Portátil Irriga ES;1;3";85,00
93;Curva 45° Irriga ES;Linha Portátil Irriga ES;2;4";105,00
94;Curva 90° Irriga ES;Linha Portátil Irriga ES;0;2";72,00
94;Curva 90° Irriga ES;Linha Portátil Irriga ES;1;3";95,00
94;Curva 90° Irriga ES;Linha Portátil Irriga ES;2;4";118,00
95;Derivação Rosca Irriga ES;Linha Portátil Irriga ES;0;3" x 2";88,00
95;Derivação Rosca Irriga ES;Linha Portátil Irriga ES;1;4" x 2";98,00
95;Derivação Rosca Irriga ES;Linha Portátil Irriga ES;2;4" x 3";105,00
96;Derivação Saída Fêmea Irriga ES;Linha Portátil Irriga ES;0;2" x 2";92,00
96;Derivação Saída Fêmea Irriga ES;Linha Portátil Irriga ES;1;3" x 2";102,00
96;Derivação Saída Fêmea Irriga ES;Linha Portátil Irriga ES;2;3" x 3";112,00
96;Derivação Saída Fêmea Irriga ES;Linha Portátil Irriga ES;3;4" x 2";115,00
96;Derivação Saída Fêmea Irriga ES;Linha Portátil Irriga ES;4;4" x 3";122,00
96;Derivação Saída Fêmea Irriga ES;Linha Portátil Irriga ES;5;4" x 4";135,00
97;Engate Sela Metálico Irriga ES;Linha Portátil Irriga ES;0;2";55,00
97;Engate Sela Metálico Irriga ES;Linha Portátil Irriga ES;1;3";68,00
97;Engate Sela Metálico Irriga ES;Linha Portátil Irriga ES;2;4";82,00
98;Ponta Fêmea Irriga ES;Linha Portátil Irriga ES;0;2";38,00
98;Ponta Fêmea Irriga ES;Linha Portátil Irriga ES;1;3";48,00
98;Ponta Fêmea Irriga ES;Linha Portátil Irriga ES;2;4";62,00
99;Ponta Macho Irriga ES;Linha Portátil Irriga ES;0;2";42,00
99;Ponta Macho Irriga ES;Linha Portátil Irriga ES;1;3";52,00
99;Ponta Macho Irriga ES;Linha Portátil Irriga ES;2;4";65,00
100;Redução Macho/Fêmea Irriga ES;Linha Portátil Irriga ES;0;3" x 2";58,00
100;Redução Macho/Fêmea Irriga ES;Linha Portátil Irriga ES;1;4" x 3";72,00
101;Saída Aspersor Irriga ES;Linha Portátil Irriga ES;0;2" x 3/4";62,00
101;Saída Aspersor Irriga ES;Linha Portátil Irriga ES;1;2" x 1";68,00
101;Saída Aspersor Irriga ES;Linha Portátil Irriga ES;2;2" x 1.1/2";72,00
101;Saída Aspersor Irriga ES;Linha Portátil Irriga ES;3;3" x 1";78,00
101;Saída Aspersor Irriga ES;Linha Portátil Irriga ES;4;3" x 1.1/2";82,00
101;Saída Aspersor Irriga ES;Linha Portátil Irriga ES;5;3" x 2.1/2";88,00
101;Saída Aspersor Irriga ES;Linha Portátil Irriga ES;6;4" x 1";98,00
101;Saída Aspersor Irriga ES;Linha Portátil Irriga ES;7;4" x 1.1/2";105,00
102;Transição Fêmea/Macho Irriga ES x EP;Linha Portátil Irriga EP/ES;0;3";65,00
103;Transição Macho/Fêmea Irriga ES x EP;Linha Portátil Irriga EP/ES;0;3";68,00
104;Aspersor Agropolo NY-25;Aspersores Agropolo;0;Amarelo x Tampão 2,50x0,00mm — 0,354 m³/h — Base 3/4";22,00
104;Aspersor Agropolo NY-25;Aspersores Agropolo;1;Amarelo x Tampão 2,50x0,00mm — 0,354 m³/h — Base 1";22,00
104;Aspersor Agropolo NY-25;Aspersores Agropolo;2;Verde x Tampão 2,80x0,00mm — 0,441 m³/h — Base 3/4";25,00
104;Aspersor Agropolo NY-25;Aspersores Agropolo;3;Verde x Tampão 2,80x0,00mm — 0,441 m³/h — Base 1";25,00
104;Aspersor Agropolo NY-25;Aspersores Agropolo;4;Vermelho x Tampão 3,00x0,00mm — 0,521 m³/h — Base 3/4";27,00
104;Aspersor Agropolo NY-25;Aspersores Agropolo;5;Vermelho x Tampão 3,00x0,00mm — 0,521 m³/h — Base 1";27,00
104;Aspersor Agropolo NY-25;Aspersores Agropolo;6;Azul x Tampão 3,20x0,00mm — 0,606 m³/h — Base 3/4";29,00
104;Aspersor Agropolo NY-25;Aspersores Agropolo;7;Azul x Tampão 3,20x0,00mm — 0,606 m³/h — Base 1";29,00
104;Aspersor Agropolo NY-25;Aspersores Agropolo;8;Amarelo x Cinza 2,50x2,50mm — 0,647 m³/h — Base 3/4";26,00
104;Aspersor Agropolo NY-25;Aspersores Agropolo;9;Amarelo x Cinza 2,50x2,50mm — 0,647 m³/h — Base 1";26,00
104;Aspersor Agropolo NY-25;Aspersores Agropolo;10;Verde x Cinza 2,80x2,50mm — 0,731 m³/h — Base 3/4";29,00
104;Aspersor Agropolo NY-25;Aspersores Agropolo;11;Verde x Cinza 2,80x2,50mm — 0,731 m³/h — Base 1";29,00
104;Aspersor Agropolo NY-25;Aspersores Agropolo;12;Vermelho x Cinza 3,00x2,50mm — 0,821 m³/h — Base 3/4";32,00
104;Aspersor Agropolo NY-25;Aspersores Agropolo;13;Vermelho x Cinza 3,00x2,50mm — 0,821 m³/h — Base 1";32,00
104;Aspersor Agropolo NY-25;Aspersores Agropolo;14;Azul x Cinza 3,20x2,50mm — 0,901 m³/h — Base 3/4";34,00
104;Aspersor Agropolo NY-25;Aspersores Agropolo;15;Azul x Cinza 3,20x2,50mm — 0,901 m³/h — Base 1";34,00
104;Aspersor Agropolo NY-25;Aspersores Agropolo;16;Laranja x Cinza 3,50x2,50mm — 1,072 m³/h — Base 3/4";38,00
104;Aspersor Agropolo NY-25;Aspersores Agropolo;17;Laranja x Cinza 3,50x2,50mm — 1,072 m³/h — Base 1";38,00
105;Aspersor Agropolo NY-30;Aspersores Agropolo;0;Tampão Preto 0mm — 1,44 m³/h — Eixo Nylon (ER);32,00
105;Aspersor Agropolo NY-30;Aspersores Agropolo;1;Tampão Preto 0mm — 1,44 m³/h — Eixo Latão (ERL);42,00
105;Aspersor Agropolo NY-30;Aspersores Agropolo;2;Curto Vermelho 4,00mm — 2,19 m³/h — Eixo Nylon (ER);38,00
105;Aspersor Agropolo NY-30;Aspersores Agropolo;3;Curto Vermelho 4,00mm — 2,19 m³/h — Eixo Latão (ERL);50,00
105;Aspersor Agropolo NY-30;Aspersores Agropolo;4;Longo Roxo 3,00mm — 1,67 m³/h — Eixo Nylon (ER);42,00
